netflix_id,title,image,imdb_rating,url,content_type,show_type,season_number,year,tv_rating,description,genre,cast,director,duration,language,updated_db,item_category
70126573,Season of the Witch,https://www.whats-on-netflix.com/wp-content/uploads/covers/seasonofthewitch.jpeg,5.4/10,https://www.whats-on-netflix.com/clickout?netflixid=70126573,,Movie,,2011,PG-13,A group of weary warriors transport a suspected witch believed to be responsible for spreading the devastating Black Plague.,"Action, Adventure, Fantasy","Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Stephen Graham",Dominic Sena,95 min,English,"Mar 28, 2020",What’s New on Netflix
70126574,Kung Fu Panda 2,https://www.whats-on-netflix.com/wp-content/uploads/covers/kungfupanda2.jpeg,7.2/10,https://www.whats-on-netflix.com/clickout?netflixid=70126574,,Movie,,2011,PG,"When a frightful new enemy emerges, Po and the Furious Five embark on a perilous journey to save China and the art of kung fu.","Animation, Action, Adventure, Comedy, Family, Fantasy","Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman",Jennifer Yuh Nelson,90 min,English,"Mar 28, 2020",What’s New on Netflix
70127228,The Other Guys,https://www.whats-on-netflix.com/wp-content/uploads/covers/theotherguys.jpeg,6.6/10,https://www.whats-on-netflix.com/clickout?netflixid=70127228,,Movie,,2010,PG-13,New York cops Allen and Terry toil in obscurity as lowly desk jockeys until a big break finally gives them a chance to tackle real police work.,"Action, Comedy, Crime","Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes",Adam McKay,107 min,English,"Mar 28, 2020",What’s New on Netflix
70128675,The American,https://www.whats-on-netflix.com/wp-content/uploads/covers/theamerican.jpeg,6.3/10,https://www.whats-on-netflix.com/clickout?netflixid=70128675,,Movie,,2010,R,"Dispatched to a small Italian town to await further orders, assassin Jack embarks on a double life that may be more relaxing than is good for him.","Crime, Drama, Thriller","George Clooney, Irina Björklund, Lars Hjelm, Björn Granath",Anton Corbijn,105 min,English,"Mar 28, 2020",What’s New on Netflix
70128695,Resident Evil: Afterlife,https://www.whats-on-netflix.com/wp-content/uploads/covers/residentevilafterlife.jpeg,5.8/10,https://www.whats-on-netflix.com/clickout?netflixid=70128695,,Movie,,2010,R,"The Undead Apocalypse continues as super-soldier Alice finds her way to a supposed sanctuary in Los Angeles, which may just be a deadly trap.","Action, Adventure, Horror, Sci-Fi","Milla Jovovich, Ali Larter, Kim Coates, Shawn Roberts",Paul W.S. Anderson,96 min,English,"Mar 28, 2020",What’s New on Netflix
70128696,The Bounty Hunter,https://www.whats-on-netflix.com/wp-content/uploads/covers/thebountyhunter.jpeg,5.6/10,https://www.whats-on-netflix.com/clickout?netflixid=70128696,,Movie,,2010,PG-13,"Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole.","Action, Comedy, Romance","Gerard Butler, Jennifer Aniston, Gio Perez, Joel Marsh Garland",Andy Tennant,110 min,English,"Mar 28, 2020",What’s New on Netflix
70128697,Kill the Irishman,https://www.whats-on-netflix.com/wp-content/uploads/covers/killtheirishman.jpeg,7.1/10,https://www.whats-on-netflix.com/clickout?netflixid=70128697,,Movie,,2011,R,"This true crime tale charts the rise and fall of mobster Danny Greene, who faced down the Mafia to gain control of organized crime in 1970s Cleveland.","Biography, Crime, Drama","Ray Stevenson, Vincent D'Onofrio, Val Kilmer, Christopher Walken",Jonathan Hensleigh,106 min,English,"Mar 28, 2020",What’s New on Netflix
70128701,Dinner for Schmucks,https://www.whats-on-netflix.com/wp-content/uploads/covers/dinnerforschmucks.jpeg,5.9/10,https://www.whats-on-netflix.com/clickout?netflixid=70128701,,Movie,,2010,PG-13,The host of a dinner party invites his friends to bring the saddest loser they can find. But the ultimate schmuck turns everyone else into the losers.,Comedy,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement",Jay Roach,114 min,English,"Mar 28, 2020",What’s New on Netflix
70130142,14 Blades,https://www.whats-on-netflix.com/wp-content/uploads/covers/14blades.jpeg,6.4/10,https://www.whats-on-netflix.com/clickout?netflixid=70130142,,Movie,,2010,R,"In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.","Action, History, Thriller","Donnie Yen, Wei Zhao, Chun Wu, Sammo Kam-Bo Hung",Daniel Lee,114 min,Mandarin,"Mar 28, 2020",What’s New on Netflix
70130424,Bal Ganesh 2,https://www.whats-on-netflix.com/wp-content/uploads/covers/balganesh2.jpeg,,https://www.whats-on-netflix.com/clickout?netflixid=70130424,,Movie,,2009,TV-Y7,"Through playful pranks and dangerous battles, beloved Lord Ganesha learns valuable lessons as he comes of age in this exhilarating sequel.",Children,,Pankaj Sharma,74 min,Hindi,"Mar 28, 2020",What’s New on Netflix
70130445,Eat Pray Love,https://www.whats-on-netflix.com/wp-content/uploads/covers/eatpraylove.jpeg,5.8/10,https://www.whats-on-netflix.com/clickout?netflixid=70130445,,Movie,,2010,PG-13,"After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.","Drama, Romance","Julia Roberts, I. Gusti Ayu Puspawati, Hadi Subiyanto, Billy Crudup",Ryan Murphy,133 min,English,"Mar 28, 2020",What’s New on Netflix
